Accession,ID,Pop,Locality,decimalLatitude,decimalLongitude
SRR12395877,Bot1,NSW,Botany Bay,-34.002666,151.219347
SRR12395876,Bot2,NSW,Botany Bay,-34.002666,151.219347
SRR12395918,Bot3,NSW,Botany Bay,-34.002666,151.219347
SRR12395906,Bot4,NSW,Botany Bay,-34.002666,151.219347
SRR12395928,Syd1,NSW,Sydney,-33.843066,151.286079
SRR12395927,Syd2,NSW,Sydney,-33.843066,151.286079
SRR12395925,Syd3,NSW,Sydney,-33.843066,151.286079
SRR12395924,Syd4,NSW,Sydney,-33.843066,151.286079
SRR12395914,Fli1,VIC,Flinders Pier,-38.475521,145.029099
SRR12395913,Fli2,VIC,Flinders Pier,-38.475521,145.029099
SRR12395912,Fli3,VIC,Flinders Pier,-38.475521,145.029099
SRR12395910,Fli4,VIC,Flinders Pier,-38.475521,145.029099
SRR12395907,Por1,VIC,Portsea Pier,-38.317584,144.713727
SRR12395905,Por2,VIC,Portsea Pier,-38.317584,144.713727
SRR12395904,Por3,VIC,Portsea Pier,-38.317584,144.713727
SRR12395903,Por4,VIC,Portsea Pier,-38.317584,144.713727
SRR12395902,Por5,VIC,Portsea Pier,-38.317584,144.713727
SRR12395901,Bic1,TAS,Bicheno,-41.869351,148.308428
SRR12395899,Bic2,TAS,Bicheno,-41.869351,148.308428
SRR12395898,Bic3,TAS,Bicheno,-41.869351,148.308428
SRR12395897,Bic4,TAS,Bicheno,-41.869351,148.308428
SRR12395896,Bic5,TAS,Bicheno,-41.869351,148.308428
SRR12395895,Bic6,TAS,Bicheno,-41.869351,148.308428
SRR12395892,Jer1,NSW,Jervis Bay,-35.116416,150.774096
SRR12395891,Jer2,NSW,Jervis Bay,-35.116416,150.774096
SRR12395890,Jer3,NSW,Jervis Bay,-35.116416,150.774096
SRR12395888,Jer4,NSW,Jervis Bay,-35.116416,150.774096
SRR12395885,Hob1,TAS,Hobart,-42.998882,147.330808
SRR12395884,Hob2,TAS,Hobart,-42.998882,147.330808
SRR12395882,Gue1,NSW,Guerilla Bay,-35.827236,150.225787
